Label,Message
spam,customer service annoncement you have a new years delivery waiting for you please call now to arrange delivery
spam,you are a winner u have been specially selected receive cash or a holiday flights inc speak to a live operator claim
ham,keep yourself safe for me because i need you and i miss you already and i envy everyone that sees you in real life
ham,new car and house for my parentsi have only new job in hand
ham,im so in love with you im excited each day i spend with you you make me so happy
spam,pls stop bootydelious f is inviting you to be her friend reply yes or no see her wwwsmsacubootydelious stop send stop frnd to
spam,bangbabes ur order is on the way u should receive a service msg download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
ham,i place all ur points on e cultures module already
spam,urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call claim code s valid hrs only
ham,hi frnd which is best way to avoid missunderstding wit our beloved ones
ham,great escape i fancy the bridge but needs her lager see you tomo
ham,yes it completely in out of formclark also utter waste
ham,sir i need axis bank account no and bank address
ham,hmmm thk sure got time to hop ard ya can go free abt muz call u to discuss liao
ham,what time you coming down later
ham,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m
ham,well im gonna finish my bath now have a goodfine night
ham,let me know when youve got the money so carlos can make the call
ham,u still going to the mall
ham,turns out my friends are staying for the whole show and wont be back til ltgt so feel free to go ahead and smoke that ltgt worth
ham,text her if she doesnt reply let me know so i can have her log in
ham,hi you just spoke to maneesha v wed like to know if you were satisfied with the experience reply toll free with yes or no
ham,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend
ham,lol no u can trust me
ham,ok i am a gentleman and will treat you with dignity and respect
ham,he will you guys close
ham,going on nothing greatbye
ham,hello handsome are you finding that job not being lazy working towards getting back that net for mummy wheres my boytoy now does he miss me
ham,haha awesome be there in a minute
spam,please call our customer service representative on freephone between ampm as you have won a guaranteed cash or prize
ham,have you got xmas radio times if not i will get it now
ham,i jus reached home i go bathe first but my sis using net tell u when she finishes k
spam,are you unique enough find out from th august wwwareyouuniquecouk
ham,im sorry ive joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week
ham,hi finally i completed the course
ham,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool
ham,how are you doing hope youve settled in for the new school year just wishin you a gr day
ham,gud mrng dear hav a nice day
ham,did u got that persons story
ham,is your hamster dead hey so tmr i meet you at pm orchard mrt
ham,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx
ham,found it enc ltgt where you at
ham,i sent you ltgt bucks
ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
ham,your account has been refilled successfully by inr ltdecimalgt your keralacircle prepaid account balance is rs ltdecimalgt your transaction id is kr ltgt
ham,goodmorning sleeping ga
ham,u call me alter at ok
ham,say until like dat i dun buy ericsson oso cannot oredi lar
ham,as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there
ham,aight yo dats straight dogg
ham,you please give us connection today itself before ltdecimalgt or refund the bill
ham,both i shoot big loads so get ready
ham,whats up bruv hope you had a great break do have a rewarding semester
ham,home so we can always chat
ham,kkgoodstudy well
ham,yup how noe leh
ham,sounds great are you home now
ham,finally the match heading towards draw as your prediction
ham,tired i havent slept well the past few nights
ham,easy ahsen got selected means its good
ham,i have to take exam with march
ham,yeah you should i think you can use your gt atm now to register not sure but if theres anyway i can help let me know but when you do be sure you are ready
ham,ok no prob take ur time
ham,there is os called ubandu which will run without installing in hard diskyou can use that os to copy the important files in system and give it to repair shop
ham,sorry ill call later
ham,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh
spam,new mobiles from must go txt nokia to no collect yours todayfrom only wwwtcbiz optout gbpmtmsg
ham,would really appreciate if you call me just need someone to talk to
spam,will u meet ur dream partner soon is ur career off a flyng start find out free txt horo followed by ur star sign e g horo aries
ham,hey company elama po mudyadhu
ham,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning
ham,dear good morning now only i am up
ham,get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right
ham,dear we are going to our rubber place
ham,sorry battery died yeah im here
ham,yeshere tv is always available in work place
spam,text meet someone sexy today u can find a date or even flirt its up to u join just p reply with name age eg sam msg recdthirtyeight pence
ham,i have printed it oh so ltgt come upstairs
ham,or ill be a little closer like at the bus stop on the same street
ham,where are youwhen wil you reach here
ham,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say im always correct
spam,u have a secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on
ham,tomarrow final hearing on my laptop case so i cant
ham,pleassssssseeeeee tel me v avent done sportsx
ham,okay no no just shining on that was meant to be signing but that sounds better
ham,although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u thanx everything dat uve done today im touched
ham,u dont remember that old commercial
ham,too late i said i have the website i didnt i have or dont have the slippers
ham,i asked you to call him now ok
ham,kallis wont bat in nd innings
ham,it didnt work again oh ok goodnight then ill fix and have it ready by the time you wake up you are very dearly missed have a good night sleep
spam,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs wwwldewcomwinppmxage
ham,ranjith cal drpd deeraj and deepak min hold
ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da
ham,what you doinghow are you
ham,ups which is days also and the shipping company that takes wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff
ham,im back lemme know when youre ready
ham,dont necessarily expect it to be done before you get back though because im just now headin out
ham,mmm so yummy babe nice jolt to the suzy
ham,where are you lover i need you
spam,we tried to contact you re your reply to our offer of a video handset anytime networks mins unlimited text camcorder reply or call now
ham,im parked next to a mini when are you coming in today do you think
ham,yup
ham,anyway im going shopping on my own now cos my sis not done yet dun disturb u liao
ham,my no in luton ring me if ur around h
spam,hey i am really horny want to chat or see me naked text hot to text charged at pm to unsubscribe text stop
ham,why you dint come with us
ham,same wana plan a trip sometme then
ham,not sure yet still trying to get a hold of him
spam,ur ringtone service has changed free credits go to clubmobilescom to choose content now stop txt club stop to pwk club po box mk wt
ham,the evo i just had to download flash jealous
spam,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
ham,come to mu were sorting out our narcotics situation
ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay
spam,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more infowwwpercentrealcom
ham,usf i guess might as well take car
ham,no objection my bf not coming
ham,thanx
ham,tell rob to mack his gf in the theater
ham,awesome ill see you in a bit
ham,just sent it so what type of food do you like
ham,all done all handed in celebrations in full swing yet
ham,you got called a tool
ham,wen u miss someone the person is definitely special for u but if the person is so special why to miss them just keepintouch gdeve
ham,ok i asked for money how far
ham,okie
ham,yeah i think my usual guys still passed out from last night if you get ahold of anybody let me know and ill throw down
ham,k i might come by tonight then if my class lets out early
ham,ok
ham,hi baby im cruisin with my girl friend what r u up give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge
ham,dearshall mail tonitebusy in the streetshall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut a good one in real sense
ham,hey you told your name to gautham ah
ham,haf u found him i feel so stupid da v cam was working
ham,oops got that bit
ham,are you this much buzy
ham,i accidentally deleted the message resend please
spam,tmobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on offer ends thfebtcs apply
ham,unless its a situation where you go gurl would be more appropriate
ham,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
ham,i cant pick the phone right now pls send a message
ham,need a coffee run tomocant believe its that time of week already
ham,awesome i remember the last time we got somebody high for the first time with diesel v
ham,shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi
ham,oh and by the way you do have more food in your fridge want to go out for a meal tonight
ham,he is a womdarfull actor
spam,sms ac blind date u rodds is m from aberdeen united kingdom check him out httpimg sms acwicmbcktzr no blind dates send hide
ham,yup from what i remb i think should be can book
ham,jos ask if u wana meet up
ham,lol yes our friendship is hanging on a thread cause u wont buy stuff
spam,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to
ham,where are the garage keys they arent on the bookshelf
ham,today is accept dayu accept me as brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
spam,think ur smart win this week in our weekly quiz text play to nowtcs winnersclub po box m uz gbpweek
ham,he says hell give me a call when his friends got the money but that hes definitely buying before the end of the week
ham,hi the way i was with u day is the normal waythis is the real me ur uniquei hope i know u the rest of mylife hope u find wot was lost
ham,you made my day do have a great day too
ham,kkadvance happy pongal
ham,hmmm guess we can go kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao
ham,not really dude have no friends im afraid
spam,december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on
ham,coffee cake i guess
ham,merry christmas to you too babe i love ya kisses
ham,hey why dont we just go watch x men and have lunch haha
ham,cud u tell ppl im gona b a bit l cos buses hav gon past cos they were full im still waitin pete x
ham,that would be great well be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week
ham,no problem how are you doing
ham,no callsmessagesmissed calls
ham,hi dahow is the todays class
ham,id say thats a good sign but well you know my track record at reading women
ham,cool text me when youre parked
ham,im reading the text i just sent you its meant to be a joke so read it in that light
ham,kkapo kgood movie
ham,maybe i could get book out tomo then return it immediately or something
spam,call germany for only pence per minute call from a fixed line via access number no prepayment direct access
ham,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employers paperwork not cool at all please do not contact me again or i will report you to your supervisor
spam,valentines day special win over in our quiz and take your partner on the trip of a lifetime send go to now pmsg rcvd custcare
ham,tadaaaaa i am home babe are you still up
ham,cool so how come you havent been wined and dined before
ham,just sleepingand surfing
ham,sorry ill call later
ham,u calling me right call my hand phone
ham,ok thats great thanx a lot
ham,i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him
ham,where u been hiding stranger
ham,am not interested to do like that
ham,my sister cleared two round in birla soft yesterday
ham,gudnitetcpractice going on
ham,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num
ham,one small prestige problem now
spam,fancy a shag i dointerested sextextukcom txt xxuk suzy to txts cost per msg tncs on website x
ham,just checking in on you really do miss seeing jeremiah do have a great month
ham,nah cant help you there ive never had an iphone
ham,if youre not in my car in an hour and a half im going apeshit
ham,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault im basically good
ham,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed
ham,ltgt ish minutes was minutes ago wtf
ham,thank you for callingforgot to say happy onam to you sirjii am fine here and remembered you when i met an insurance personmeet you in qatar insha allahrakhesh ex tata aig who joined tisscotayseer
spam,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to tncs wwwldewcomwinppmxage
spam,ur cashbalance is currently pounds to maximize ur cashin now send cash to only pmsg cc hgsuitelands rowwjhl
ham,im an actor when i work i work in the evening and sleep late since im unemployed at the moment i always sleep late when youre unemployed every day is saturday
ham,hello just got here st andrewsboy its a long way its cold i will keep you posted
ham,ha ha cool cool chikku chikkudb
ham,oh ok no prob
ham,check audreys status right now
ham,busy here trying to finish for new year i am looking forward to finally meeting you
ham,good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always
ham,well i know z will take care of me so no worries
spam,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt on orange call mobileupd on or calloptoutfq
spam,here is your discount code rp to stop further messages reply stop wwwregalportfoliocouk customer services
ham,wat uniform in where get
ham,cool text me when youre ready
ham,hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you
ham,i will spoil you in bed as well
ham,im going for bath will msg you next ltgt min
ham,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay
spam,thanks for your ringtone order reference t you will be charged gbp per week you can unsubscribe at anytime by calling customer services on
ham,can you say what happen
ham,you could have seen mei didt recognise you face
ham,well theres not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going
ham,keep my payasam there if rinu brings
ham,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me
ham,i guess thats why you re worried you must know that theres a way the body repairs itself and im quite sure you shouldnt worry well take it slow first the tests they will guide when your ovulation is then just relax nothing youve said is a reason to worry but ill keep on followin you up
ham,yeah sure give me a couple minutes to track down my wallet
ham,hey leave it not a big deal take care
ham,hey i will be late ah meet you at
spam,double mins and txts months free bluetooth on orange available on sony nokia motorola phones call mobileupd on or calloptoutndx
ham,it took mr owl licks
ham,customer place i will call you
ham,mm that time you dont like fun
spam,mths half price orange line rental latest camera phones free had your phone mths call mobilesdirect free on to update now orstoptxt
ham,yup having my lunch buffet now u eat already
ham,huh so late fr dinner
ham,hey so this sat are we going for the intro pilates only or the kickboxing too
ham,morning only i can ok
ham,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down
ham,pick you up bout ish what time are and that going
ham,from here after the performance award is calculated every two monthnot for current one month period
ham,was actually sleeping and still might when u call back so a text is gr you rock sis will send u a text wen i wake
ham,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people ive ever met why would i think a picture of your room would hurt you make you feel violated
ham,good evening sir al salam wahleykkumsharing a happy newsby the grace of god i got an offer from tayseertissco and i joinedhope you are fineinshah allahmeet you sometimerakheshvisitor from india
ham,hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator
spam,free ringtone text first to for a poly or text get to for a true tone help after st free tones are xpw to end txt stop
ham,dear how is chechi did you talk to her
ham,the hair cream has not been shipped
ham,none of thats happening til you get here though
ham,yep the great loxahatchee xmas tree burning of ltgt starts in an hour
ham,haha get used to driving to usf man i know a lot of stoners
ham,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as cant stay late tomorrow same time place as always
ham,hello good week fancy a drink or something later
ham,headin towards busetop
ham,messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom
ham,come by our room at some point so we can iron out the plan for this weekend
ham,cos i want it to be your thing
ham,okies ill go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah
ham,bring home some wendy d
spam,dating service call boxskch
ham,whatsup there dont u want to sleep
ham,alright i have a new goal now
spam,free entry into our weekly competition just text the word win to now tc wwwtxttowincouk
ham,alright ill head out in a few minutes text me where to meet you
spam,send a logo ur lover names joined by a heart txt love name name mobno eg love adam eve to yahoo poboxwwq txtno no ads p
ham,yesfrom last week itself im taking live call
spam,someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline poboxntfp
ham,siva is in hostel aha
spam,urgent your mobile number has been awarded with a prize guaranteed call from land line claim valid hrs only
ham,send this to ur friends and receive something about ur voice how is my speaking expression childish naughty sentiment rowdy ful of attitude romantic shy attractive funny ltgt irritating ltgt lovable reply me
ham,ok shell be ok i guess
ham,aathiwhere are you dear
ham,any pain on urination any thing else
ham,at esplanade do mind giving me a lift cos i got no car today
ham,i wnt to buy a bmw car urgentlyits vry urgentbut hv a shortage of ltgt lacsthere is no source to arng dis amt ltgt lacsthats my prob
ham,at home watching tv lor
ham,does she usually take fifteen fucking minutes to respond to a yes or no question
spam,congrats nokia video camera phone is your call calls cost ppm ave call mins vary from mobiles close post bcm ldn wcnxx
ham,booked ticket for pongal
ham,you available now im like right around hillsborough amp ltgt th
ham,the message sent is askin for ltgt dollars shoul i pay ltgt or ltgt
ham,ask g or iouri ive told the story like ten times already
ham,how long does applebees fucking take
ham,hi hope u get this txtjourney hasnt been gdnow about mins late i think
ham,but i have to i like to have love and arrange
ham,yeshe is really greatbhaji told kallis best cricketer after sachin in worldvery tough to get out
ham,you were supposed to wake me up gt
ham,oic i saw him too but i tot he din c me i found a group liao
ham,sorry ill call later
ham,hey hey werethe monkeespeople say we monkeyaround howdy gorgeous howu doin foundurself a jobyet sausagelove jen xxx
ham,sorry my battery died i can come by but im only getting a gram for now wheres your place
ham,well done blimey exercise yeah i kinda remember wot that is hmm
ham,i wont get concentration dear you know you are my mind and everything
ham,lol have you made plans for new years
ham,min later k
ham,hanks lotsly
ham,thanks for this hope you had a good day today
ham,kkwhat are detail you want to transferacc no enough
ham,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month
spam,loan for any purpose homeowners tenants welcome have you been previously refused we can still help call free or text back help
ham,si si i think ill go make those oreo truffles
ham,look at amy ure a beautiful intelligent woman and i like u a lot i know u dont like me like that so dont worry
ham,i hope you thats the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl
ham,that call cost which i guess isnt bad miss ya need ya want ya love ya
ham,going thru a very different feelingwavering decisions and coping up with the same is the same individualtime will heal everything i believe
ham,where did u go my phone is gonna die you have to stay in here
ham,great never been better each day gives even more reasons to thank god
spam,upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on offer ends th july tcs apply optout available
ham,sorry ill call later ok bye
ham,ok i am on the way to railway
ham,great princess i love giving and receiving oral doggy style is my fave position how about you i enjoy making love ltgt times per night
ham,they dont put that stuff on the roads to keep it from getting slippery over there
ham,when are you going to ride your bike
ham,yup no need ill jus wait e rain stop
ham,there are many company tell me the language
spam,okmail dear dave this is your final notice to collect your tenerife holiday or cash award call from landline tcs sae box cwwx ppm
ham,how long has it been since you screamed princess
ham,nothing i meant that once the money enters your account here the bank will remove its flat rate someone transfered ltgt to my account and ltgt dollars got removed so the banks differ and charges also differbe sure you trust the ja person you are sending account details to cos
spam,want get laid tonight want real dogging locations sent direct ur mob join the uks largest dogging network by txting moan to nyt eca pmsgp
ham,nice line said by a broken heart plz dont cum more times infront of me other wise once again i ll trust u good t
ham,ok im gonna head up to usf in like fifteen minutes
ham,love you aathilove u lot
ham,tension ahwhat machiany problem
ham,k can i pick up another th when youre done
ham,whenre you guys getting back g said you were thinking about not staying for mcr
ham,almost there see u in a sec
ham,yo carlos a few friends are already asking me about you you working at all this weekend
ham,watching tv lor
ham,thank you baby i cant wait to taste the real thing
ham,you should change your fb to jaykwon thuglyfe falconerf
ham,if we win its really no side for long time
spam,free message activate your free text messages by replying to this message with the word free for terms conditions visit wwwcom
ham,dear reached railway what happen to you
